🕘️更新时间,#genre#
2025-05-03 19:03:33,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8?$订阅源-1920x1080-1920x1080-1920x1080-1920x1080

📺央视频道,#genre#
CCTV-1,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8?$订阅源-1920x1080-1920x1080-1920x1080
CCTV-1,https://piccpndali.v.myalicdn.com/audio/cctv1_2.m3u8$订阅源
CCTV-1,http://139.129.231.228/rtp/239.21.1.120:5002$山东电信组播源-cache:139.129.231.228
CCTV-1,http://42.48.80.240:9002/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-1,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=62d34d&tk=8bf286184513$订阅源-854x480-854x480-854x480
CCTV-2,https://piccpndali.v.myalicdn.com/audio/cctv2_2.m3u8$订阅源
CCTV-2,http://139.129.231.228/rtp/239.21.1.151:5002$山东电信组播源-cache:139.129.231.228
CCTV-2,http://42.48.80.240:9002/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-2,https://ldocctvwbcdtxy.liveplay.myqcloud.com/ldocctvwbcd/cdrmldcctv2_1_ud.m3u8$订阅源-1024x576-1024x576
CCTV-2,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=87af56&tk=8bf286184513$订阅源-854x480-854x480
CCTV-3,https://piccpndali.v.myalicdn.com/audio/cctv3_2.m3u8$订阅源
CCTV-3,http://139.129.231.228/rtp/239.21.2.45:5002$山东电信组播源-cache:139.129.231.228
CCTV-3,http://42.48.80.240:9002/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-3,https://ldocctvwbcdtxy.liveplay.myqcloud.com/ldocctvwbcd/cdrmldcctv3_1/index.m3u8?b=200-1200$订阅源-1024x576-1024x576
CCTV-3,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=8b133c&tk=8bf286184513$订阅源-854x480-854x480
CCTV-4,https://piccpndali.v.myalicdn.com/audio/cctvamerica_2.m3u8$订阅源
CCTV-4,http://139.129.231.228/rtp/239.21.1.154:5002$山东电信组播源-cache:139.129.231.228
CCTV-4,http://42.48.80.240:9002/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-4,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=330c72&tk=8bf286184513$订阅源-854x480-854x480
CCTV-4,http://nctv.top/IDOEPpiryt/migu.php?id=cctv4o$订阅源-854x480-854x480
CCTV-5,https://piccpndali.v.myalicdn.com/audio/cctv5_2.m3u8$订阅源
CCTV-5,http://139.129.231.228/rtp/239.21.2.46:5002$山东电信组播源-cache:139.129.231.228
CCTV-5,http://42.48.80.240:9002/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-5,https://ldcctvwbcdtxy.liveplay.myqcloud.com/ldcctvwbcd/cdrmldcctv5plus_1/index.m3u8?b=200-2100$订阅源
CCTV-5,https://ldcctvwbcdbd.a.bdydns.com/ldcctvwbcd/cdrmldcctv5plus_1/index.m3u8?BR=td$订阅源-1280x720-1280x720
CCTV-5+,https://piccpndali.v.myalicdn.com/audio/cctv5plus_2.m3u8$订阅源
